-92,584,-345
-40,572,-365
-34,592,-381
-57,591,-390
-87,621,-402
-111,660,-417
-140,697,-423
-168,745,-428
-193,784,-425
-225,834,-430
-271,872,-416
-341,912,-378
-332,943,-389
-299,989,-387
-270,1018,-379
-246,1050,-375
-210,1065,-381
-181,1088,-387
-142,1090,-383
-104,1102,-388
-72,1108,-384
-33,1085,-377
-7,1081,-384
25,1077,-380
54,1063,-389
79,1054,-373
107,1029,-377
123,1018,-385
140,1008,-385
149,978,-384
166,969,-375
180,945,-376
187,927,-380
198,903,-374
193,891,-380
202,872,-380
207,859,-379
207,851,-374
201,834,-382
206,840,-387
205,820,-375
207,810,-374
208,803,-376
211,805,-389
205,794,-379
202,789,-384
202,782,-384
199,781,-381
202,779,-384
202,779,-384
204,786,-387
206,788,-386
203,788,-391
203,787,-390
207,789,-393
206,786,-395
205,788,-389
204,787,-392
206,786,-393
207,785,-394
205,785,-395
206,784,-393
205,785,-393
205,786,-393
204,788,-393
204,785,-395
205,785,-391
203,787,-392
202,787,-392
207,785,-392
207,786,-392
208,785,-394
205,784,-393
204,786,-394
206,786,-392
204,786,-394
206,784,-394
206,787,-395
206,785,-394
204,786,-392
204,786,-393
205,788,-393
207,788,-393
207,785,-394
203,787,-393
204,787,-394
204,786,-392
204,790,-390
204,787,-395
205,788,-394
203,784,-390
205,788,-393
204,786,-392
204,785,-394
206,785,-393
203,786,-393
206,786,-393
207,786,-391
205,787,-395
206,786,-394
204,786,-393
204,786,-393
207,787,-393
207,784,-392
210,786,-394
209,788,-394
206,785,-394
205,786,-393
204,785,-392
205,786,-393
203,788,-391
204,787,-395
206,787,-395
204,785,-392
206,786,-393
209,787,-392
203,785,-390
205,787,-392
203,785,-391
209,786,-394
205,786,-393
206,786,-393
206,787,-392
207,787,-391
205,787,-394
205,788,-391
206,787,-393
206,788,-393
205,788,-395
204,786,-396
205,788,-393
205,786,-394
206,788,-392
202,784,-392
205,786,-392
205,785,-394
207,784,-394
204,785,-394
206,788,-392
207,787,-394
205,786,-393
206,787,-392
206,788,-393
204,786,-391
203,787,-391
205,787,-395
207,786,-393
207,787,-394
203,784,-394
207,786,-394
207,786,-392
207,786,-395
206,783,-393
204,786,-393
202,785,-392
203,787,-394
208,785,-392
207,788,-393
206,785,-391
203,785,-391
205,785,-393
204,785,-393
208,786,-392
207,787,-392
206,787,-391
204,785,-392
204,786,-394
204,787,-391
207,785,-395
207,788,-392
204,785,-391
206,785,-395
207,786,-395
204,786,-392
206,786,-392
205,786,-392
208,787,-390
205,785,-396
207,786,-391
205,787,-393
208,787,-392
208,786,-392
205,785,-395
204,786,-393
205,783,-395
206,785,-392
205,787,-391
204,787,-394
206,786,-391
207,785,-392
205,784,-391
205,790,-394
204,787,-394
206,788,-391
204,787,-394
204,788,-392
206,788,-395
207,788,-392
208,786,-395
206,786,-395
